,epoch,train_loss,val_loss
0,1,3790.533748626709,0.0
1,2,2425.908471107483,0.0
2,3,1848.7290935516357,0.0
3,4,1480.348424911499,0.0
4,5,1407.6035079956055,0.0
5,6,1359.670678138733,0.0
6,7,1390.638349533081,0.0
7,8,1271.5043287277222,0.0
8,9,1282.1717615127563,0.0
9,10,1460.173007965088,182.11324882507324
10,11,1305.1472272872925,0.0
11,12,1317.482569694519,0.0
12,13,1447.493076324463,0.0
13,14,1212.6441478729248,0.0
14,15,1220.7809944152832,0.0
15,16,1298.464256286621,0.0
16,17,1296.5702962875366,0.0
17,18,1410.7944536209106,0.0
18,19,1376.7579669952393,0.0
19,20,1479.354139328003,223.49218654632568
20,21,1400.6052312850952,0.0
21,22,1394.5479545593262,0.0
22,23,1202.110357284546,0.0
23,24,1160.3144130706787,0.0
24,25,1094.5273303985596,0.0
25,26,1044.7622327804565,0.0
26,27,978.4425449371338,0.0
27,28,960.5769491195679,0.0
28,29,959.8385343551636,0.0
29,30,957.9012322425842,141.87338733673096
30,31,951.9921941757202,0.0
31,32,956.2985677719116,0.0
32,33,955.1051411628723,0.0
33,34,954.6313691139221,0.0
34,35,952.5487108230591,0.0
35,36,951.9474172592163,0.0
36,37,950.0124793052673,0.0
37,38,951.2167854309082,0.0
38,39,951.8102374076843,0.0
39,40,951.55006980896,141.2268509864807
40,41,952.0146017074585,0.0
41,42,951.1418108940125,0.0
42,43,952.1320781707764,0.0
43,44,950.4379115104675,0.0
44,45,952.8482761383057,0.0
45,46,952.3424916267395,0.0
46,47,951.3946986198425,0.0
47,48,951.7484130859375,0.0
48,49,951.3518118858337,0.0
49,50,952.3207244873047,141.36618328094482
50,51,951.8833956718445,0.0
51,52,950.8698444366455,0.0
52,53,951.5428004264832,0.0
53,54,952.5698480606079,0.0
54,55,952.4765005111694,0.0
55,56,951.2238521575928,0.0
56,57,951.5727558135986,0.0
57,58,952.1448431015015,0.0
58,59,952.1605386734009,0.0
59,60,952.2443270683289,141.42804336547852
60,61,952.6228775978088,0.0
61,62,952.8868556022644,0.0
62,63,953.0319681167603,0.0
63,64,952.7512040138245,0.0
64,65,951.2822427749634,0.0
65,66,954.1337084770203,0.0
66,67,952.5522127151489,0.0
67,68,953.0639553070068,0.0
68,69,951.8601908683777,0.0
69,70,952.8488550186157,141.21533584594727
70,71,954.3248867988586,0.0
71,72,952.3682699203491,0.0
72,73,952.7223825454712,0.0
73,74,953.7407283782959,0.0
74,75,952.3403224945068,0.0
75,76,952.2309226989746,0.0
76,77,953.3153781890869,0.0
77,78,952.991847038269,0.0
78,79,954.1657018661499,0.0
79,80,954.1518745422363,141.18823194503784
80,81,952.2471885681152,0.0
81,82,952.7296462059021,0.0
82,83,954.210009098053,0.0
83,84,952.9787621498108,0.0
84,85,952.2907676696777,0.0
85,86,952.7026529312134,0.0
86,87,954.2124724388123,0.0
87,88,953.7606902122498,0.0
88,89,955.0638613700867,0.0
89,90,952.4994239807129,141.4815640449524
90,91,952.4356541633606,0.0
91,92,953.0874996185303,0.0
92,93,954.273904800415,0.0
93,94,953.9255084991455,0.0
94,95,952.4029240608215,0.0
95,96,954.0070271492004,0.0
96,97,952.9550943374634,0.0
97,98,953.7073040008545,0.0
98,99,953.4715156555176,0.0
99,100,953.4514317512512,141.88472986221313
100,101,953.3214821815491,0.0
101,102,953.212324142456,0.0
102,103,954.4976687431335,0.0
103,104,952.9371085166931,0.0
104,105,956.8627605438232,0.0
105,106,956.1148490905762,0.0
106,107,962.5991353988647,0.0
107,108,975.2477650642395,0.0
108,109,981.9922218322754,0.0
109,110,992.0958895683289,146.38316822052002
110,111,1031.2736110687256,0.0
111,112,1125.3654985427856,0.0
112,113,1607.4540910720825,0.0
113,114,1024.6860747337341,0.0
114,115,1077.5283818244934,0.0
115,116,1011.259418964386,0.0
